Date,Q (ft3/s),  
5/17/1982,"74,600",  
5/18/1982,"83,900",  
5/19/1982,"76,600",  
5/20/1982,"61,400",  
5/21/1982,"57,500",  
5/22/1982,"65,600",  
5/23/1982,"72,600",  
5/24/1982,"74,600",  
5/25/1982,"74,600",  
5/26/1982,"77,700",  
5/27/1982,"81,700",  
5/28/1982,"83,900",  
5/29/1982,"87,200",  
5/30/1982,"88,400",  
5/31/1982,"83,900",  
6/1/1982,"79,700",  
6/2/1982,"78,700",  
6/3/1982,"80,700",  
6/4/1982,"85,000",  
6/5/1982,"88,400",  
6/6/1982,"89,500",  
6/7/1982,"90,600",  
6/8/1982,"91,700",  
6/9/1982,"88,400",  
6/10/1982,"88,400",  
6/11/1982,"92,800",  
6/12/1982,"94,000",  
6/13/1982,"94,000",  
6/14/1982,"92,800",  
6/15/1982,"92,800",  
6/16/1982,"92,800",  
6/17/1982,"97,600",  
6/18/1982,"96,400",  
6/19/1982,"98,900",  
6/20/1982,"106,000",  
6/21/1982,"105,000",  
6/22/1982,"96,400",  
6/23/1982,"91,700",  
6/24/1982,"92,800",  
6/25/1982,"92,800",  
6/26/1982,"94,000",  
6/27/1982,"94,000",  
6/28/1982,"94,000",  
6/29/1982,"92,800",  
6/30/1982,"94,000",  
7/1/1982,"94,000",  
7/2/1982,"92,800",  
7/3/1982,"81,700",  
7/4/1982,"77,700",  
7/5/1982,"81,700",  
7/6/1982,"87,200",  
7/7/1982,"87,200",  
7/8/1982,"83,900",  
7/9/1982,"76,600",  
7/10/1982,"72,600",  
7/11/1982,"71,700",  
7/12/1982,"74,600",  
7/13/1982,"75,600",  
7/14/1982,"73,600",  
7/15/1982,"71,700",  
7/16/1982,"68,200",  
7/17/1982,"63,000",  
7/18/1982,"55,300",  
7/19/1982,"44,100",  
7/20/1982,"36,000",  
7/21/1982,"31,200",  
7/22/1982,"28,500",  
7/23/1982,"27,300",  
7/24/1982,"26,500",  
7/25/1982,"25,800",  
7/26/1982,"25,400",  
7/27/1982,"28,800",  
7/28/1982,"22,000",  
7/29/1982,"20,600",  
7/30/1982,"20,000",  
7/31/1982,"19,300",  
8/1/1982,"19,000",  
8/2/1982,"18,600",  
8/3/1982,"17,000",  
8/4/1982,"17,600",  
8/5/1982,"23,500",  
8/6/1982,"26,500",  
8/7/1982,"24,600",  
8/8/1982,"20,300",  
8/9/1982,"17,300",  
8/10/1982,"16,100",  
8/11/1982,"15,400",  
8/12/1982,"15,400",  
8/13/1982,"14,800",  
8/14/1982,"13,400",  
8/15/1982,"12,300",  
8/16/1982,"11,700",  
8/17/1982,"12,000",  
8/18/1982,"12,000",  
8/19/1982,"11,000",  
8/20/1982,"10,500",  
8/21/1982,"10,500",  
8/22/1982,"10,000",  
8/23/1982,"9,570",  
8/24/1982,"9,570",  
8/25/1982,"9,800",  
8/26/1982,"8,490",  
8/27/1982,"8,280",  
8/28/1982,"8,280",  
8/29/1982,"8,080",  
8/30/1982,"8,080",  
8/31/1982,"7,880",  
9/1/1982,"7,680",  
9/2/1982,"7,680",  
9/3/1982,"7,480",  
9/4/1982,"7,680",  
9/5/1982,"7,680",  
9/6/1982,"6,890",  
9/7/1982,"6,160",  
9/8/1982,"5,980",  
9/9/1982,"6,160",  
9/10/1982,"6,340",  
9/11/1982,"6,340",  
9/12/1982,"6,160",  
9/13/1982,"5,620",  
9/14/1982,"5,260",  
9/15/1982,"5,020",  
9/16/1982,"4,890",  
9/17/1982,"5,140",  
9/18/1982,"5,620",  
